employer_name,posting_url,location_state,location_city,employment_type,job_title,created_at,expiration_date,apply_start
"Blueera Technologies, Inc.",https://app.joinhandshake.com/jobs/9016513,Maryland,California,Full-Time,.NET Developer,2024-06-03T10:44:04.737-04:00,2024-12-02T19:30:00.000-05:00,2024-06-02T20:30:00.000-04:00
Find Me,https://app.joinhandshake.com/jobs/9259218,,,Part-Time,Product Manager,2024-09-03T12:52:11.059-04:00,2024-12-03T06:00:00.000-05:00,2024-09-03T06:00:00.000-04:00
NexusDevops,https://app.joinhandshake.com/jobs/9306199,,,Part-Time,Search Engine and Recommendation Algorithm,2024-09-16T16:22:33.502-04:00,2025-03-15T07:00:00.000-04:00,2024-09-15T07:00:00.000-04:00
"Google, Inc.",https://app.joinhandshake.com/jobs/9222779,New York,New York,Full-Time,"Account Strategist, Mid-Market Sales, Google Customer Solutions (NYC)",2024-08-21T19:09:03.569-04:00,2024-11-21T09:00:00.000-05:00,2024-08-21T09:00:00.000-04:00
Untethered Labs,https://app.joinhandshake.com/jobs/9222503,Maryland,Greenbelt,Part-Time,Seasonal Quality Assurance (QA) Technicians,2024-08-21T17:39:08.663-04:00,2024-09-30T06:00:00.000-04:00,2024-08-21T06:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9242235,,,Full-Time,Technical Writer Summer Internship – 2025 (US),2024-08-27T22:22:15.266-04:00,2025-04-30T09:00:00.000-04:00,2024-08-27T09:00:00.000-04:00
Brightfind,https://app.joinhandshake.com/jobs/9195111,,,Part-Time,Digital Marketing Intern,2024-08-13T16:09:58.906-04:00,2024-09-30T06:00:00.000-04:00,2024-08-13T06:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9223340,,,Full-Time,Product Manager Intern - Full time remote,2024-08-22T02:59:14.064-04:00,2025-01-01T01:00:00.000-05:00,2024-08-22T01:00:00.000-04:00
CaseGuard,https://app.joinhandshake.com/jobs/9206950,Virginia,Arlington,Full-Time,Marketing Specialist,2024-08-16T14:00:14.541-04:00,2025-02-16T06:00:00.000-05:00,2024-08-16T06:00:00.000-04:00
Trip.com Group,https://app.joinhandshake.com/jobs/9257376,,Shanghai,Full-Time,Eagle Program Trainee-Machine Learning Engineer（Only for Chinese students）,2024-09-03T03:00:42.432-04:00,2025-03-02T17:00:00.000-05:00,2024-09-02T18:00:00.000-04:00
PieJob Corp,https://app.joinhandshake.com/jobs/9151399,,,Part-Time,Remote Teaching Assistant (Education),2024-07-30T10:59:52.996-04:00,2025-01-30T06:00:00.000-05:00,2024-07-30T06:00:00.000-04:00
"Computer Packages, Inc.",https://app.joinhandshake.com/jobs/9100183,Maryland,Rockville,Full-Time,Docketing Specialist,2024-07-09T17:26:37.309-04:00,2025-01-09T06:00:00.000-05:00,2024-07-09T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879463,,,Part-Time,Web Development Coordinator,2024-04-10T20:54:46.512-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
Chowbus,https://app.joinhandshake.com/jobs/9234943,Illinois,Chicago,Full-Time,Site Reliability Engineer_Mandarin Speaking,2024-08-26T14:33:42.561-04:00,2024-12-31T06:00:00.000-05:00,2024-08-26T06:00:00.000-04:00
CAI3p0,https://app.joinhandshake.com/jobs/9255758,,,Part-Time,Applied AI and Entrepreneurship Intern,2024-08-30T18:29:46.491-04:00,2024-09-30T19:00:00.000-04:00,2024-09-01T07:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166987,,,Full-Time,UI/UX Designer Intern,2024-08-05T03:10:45.632-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9192718,,,Full-Time,Product Design Engineer Internship – 2025 (US),2024-08-13T11:02:24.913-04:00,2025-04-30T06:00:00.000-04:00,2024-08-13T06:00:00.000-04:00
TikTok Inc.,https://app.joinhandshake.com/jobs/9105517,Washington,Seattle,Full-Time,Research Scientist Intern - TikTok Core Recommendation - 2024 Off-Cycle (PhD),2024-07-11T12:06:01.830-04:00,2025-01-11T07:00:00.000-05:00,2024-07-11T08:00:00.000-04:00
Persona Identities,https://app.joinhandshake.com/jobs/9225694,California,San Francisco,Full-Time,Associate Solutions Consultant,2024-08-22T14:13:45.323-04:00,2024-09-27T09:00:00.000-04:00,2024-08-22T09:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166985,,,Full-Time,Product Manager Intern,2024-08-05T03:06:55.010-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
Palantir Technologies,https://app.joinhandshake.com/jobs/9084499,New York,New York,Full-Time,"Forward Deployed Software Engineer, Internship - NY",2024-07-01T21:00:52.025-04:00,2024-12-02T06:00:00.000-05:00,2024-07-01T06:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/8879032,,,Part-Time,Cyber Security Analyst,2024-04-10T17:31:59.061-04:00,2024-10-10T09:00:00.000-04:00,2024-04-10T09:00:00.000-04:00
"Resilience, Inc.",https://app.joinhandshake.com/jobs/9035267,,,Part-Time,Web/App Development Director,2024-06-10T15:05:42.484-04:00,2024-12-10T07:00:00.000-05:00,2024-06-10T07:00:00.000-04:00
"CyberVillage Networkers, Inc.",https://app.joinhandshake.com/jobs/9154470,Maryland,Ellicott City,Full-Time,Administrative Assistance,2024-07-30T23:34:53.061-04:00,2025-01-30T06:00:00.000-05:00,2024-07-30T06:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9304714,,,Part-Time,"AI Trainer for Spanish Writers/Speakers (Freelance, Remote)",2024-09-16T12:49:35.868-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
